"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,2.75279302898577,3.64598389928933,3.64598389928933,3.66773995420846,2.35891475859603,3.64186650795756,2.89362669572062,3.65080587337293,3.62498137249215
"2",0.001,2.75377246621094,3.63951215066588,3.63951215066588,3.66091597793938,2.36405278324994,3.6353466722849,2.89395449611189,3.64551675312227,3.62008577751467
"3",0.002,2.75475247260131,3.63307065081318,3.63307065081318,3.65412384593698,2.36917804935133,3.62885744785109,2.8942828646234,3.64024645697592,3.61520679891666
"4",0.003,2.75573301884029,3.62665935444181,3.62665935444181,3.64736351215073,2.37429052114119,3.62239878874351,2.89461177820347,3.63499495585289,3.61034440967326
"5",0.004,2.75671407538141,3.62027821589395,3.62027821589395,3.64063493015515,2.37939016258389,3.6159706486763,2.89494121362202,3.62976222044034,3.60549858254522
"6",0.005,2.75769561244635,3.61392718913999,3.61392718914,3.6339380531464,2.38447693736485,3.6095729809869,2.89527114746905,3.62454822119142,3.60066929007699
"7",0.006,2.75867760002292,3.60760622777526,3.60760622777526,3.62727283393891,2.38955080888821,3.60320573863271,2.89560155615314,3.61935292832334,3.59585650459495
"8",0.007,2.75966000786305,3.6013152850165,3.6013152850165,3.62063922496184,2.39461174027446,3.59686887418759,2.89593241589991,3.61417631181518,3.59106019820536
"9",0.008,2.76064280548088,3.59505431369861,3.59505431369861,3.61403717825572,2.39965969435812,3.59056233983851,2.89626370275056,3.60901834140594,3.58628034279258
"10",0.009,2.76162596215062,3.58882326627107,3.58882326627107,3.60746664546879,2.4046946336853,3.58428608738194,2.89659539256022,3.60387898659231,3.58151691001705
"11",0.01,2.76260944690454,3.58262209479452,3.58262209479452,3.60092757785357,2.40971652051132,3.57804006822037,2.89692746099648,3.59875821662661,3.57676987131338
"12",0.011,2.76359322853094,3.57645075093727,3.57645075093727,3.59441992626324,2.41472531679828,3.57182423335883,2.89725988353778,3.59365600051466,3.57203919788841
"13",0.012,2.76457727557204,3.57030918597168,3.57030918597168,3.58794364114802,2.41972098421266,3.56563853340117,2.89759263547189,3.58857230701358,3.56732486071919
"14",0.013,2.76556155632187,3.56419735077067,3.56419735077067,3.58149867255153,2.42470348412275,3.55948291854654,2.89792569189421,3.58350710462963,3.56262683055098
"15",0.014,2.76654603882423,3.55811519580408,3.55811519580408,3.57508497010716,2.42967277759633,3.55335733858575,2.8982590277063,3.57846036161605,3.55794507789534
"16",0.015,2.76753069087047,3.552062671135,3.552062671135,3.56870248303428,2.43462882539802,3.54726174289746,2.89859261761415,3.5734320459708,3.55327957302793
"17",0.016,2.76851547999741,3.54603972641616,3.54603972641617,3.56235116013455,2.43957158798687,3.54119608044462,2.89892643612666,3.56842212543432,3.54863028598663
"18",0.017,2.76950037348517,3.54004631088623,3.54004631088623,3.5560309497882,2.44450102551379,3.53516029977065,2.89926045755391,3.56343056748736,3.54399718656939
"19",0.018,2.77048533835498,3.53408237336599,3.53408237336599,3.54974179995007,2.44941709781897,3.52915434899562,2.89959465600558,3.5584573393486,3.53938024433215
"20",0.019,2.77147034136696,3.5281478622547,3.52814786225469,3.54348365814594,2.45431976442937,3.52317817581252,2.89992900538923,3.55350240797247,3.53477942858681
"21",0.02,2.77245534901799,3.52224272552617,3.52224272552617,3.53725647146852,2.45920898455607,3.51723172748335,2.90026347940866,3.54856574004676,3.53019470839905
"22",0.021,2.77344032753939,3.51636691072502,3.51636691072502,3.53106018657366,2.4640847170917,3.51131495083527,2.90059805156222,3.54364730199035,3.52562605258623
"23",0.022,2.77442524289475,3.51052036496278,3.51052036496278,3.5248947496763,2.4689469206078,3.50542779225668,2.90093269514112,3.53874705995082,3.52107342971527
"24",0.023,2.7754100607776,3.504703034914,3.504703034914,3.51876010654657,2.4737955533522,3.49957019769327,2.90126738322771,3.53386497980215,3.51653680810045
"25",0.024,2.77639474660918,3.49891486681227,3.49891486681227,3.51265620250572,2.4786305732463,3.49374211264401,2.90160208869371,3.52900102714225,3.51201615580123
"26",0.025,2.77737926553616,3.49315580644633,3.49315580644633,3.50658298242215,2.48345193788244,3.48794348215718,2.9019367841986,3.52415516729067,3.50751144062008
"27",0.026,2.77836358242825,3.48742579915601,3.48742579915601,3.50054039070723,2.48825960452117,3.48217425082628,2.90227144218772,3.51932736528608,3.50302263010028
"28",0.027,2.77934766187593,3.48172478982819,3.48172478982819,3.49452837131127,2.49305353008854,3.47643436278595,2.90260603489061,3.51451758588387,3.4985496915236
