"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.74873021890975,1.76562216243705,1.77967551505917,1.90304983056061,1.87000066524243,1.9032481584292,1.87281161317658,1.70359508470718,1.67975449781854
"2",0.001,1.74836656295084,1.76683389786451,1.78076374292555,1.90345479194464,1.86902727858196,1.90369180604028,1.87182300412526,1.70520862058501,1.67974166522446
"3",0.002,1.74800916053557,1.76804396231264,1.78185129999713,1.90386109119123,1.86806133246591,1.90413602496408,1.87084146792704,1.70681762053974,1.67973222055185
"4",0.003,1.74765799934073,1.76925235371682,1.78293819416818,1.90426873772891,1.86710281407221,1.90458082444511,1.8698669935353,1.70842209233465,1.67972615593071
"5",0.004,1.74731306696065,1.77045906999566,1.78402443336539,1.90467774102768,1.86615171050134,1.90502621377124,1.86889956983675,1.71002204377387,1.67972346344159
"6",0.005,1.74697435090675,1.77166410905082,1.78511002554781,1.90508811059894,1.86520800877602,1.90547220227376,1.86793918565114,1.71161748270251,1.6797241351154
"7",0.006,1.74664183860719,1.77286746876701,1.78619497870679,1.90549985599548,1.864271695841,1.90591879932735,1.8669858297311,1.71320841700671,1.67972816293324
"8",0.007,1.74631551740647,1.77406914701178,1.7872793008659,1.90591298681147,1.86334275856268,1.90636601435013,1.86603949076186,1.71479485461375,1.67973553882619
"9",0.008,1.74599537456503,1.77526914163552,1.7883630000809,1.90632751268239,1.86242118372898,1.90681385680363,1.86510015736105,1.71637680349212,1.67974625467513
"10",0.009,1.74568139725889,1.77646745047124,1.78944608443963,1.906743443285,1.86150695804894,1.90726233619284,1.86416781807844,1.7179542716516,1.67976030231053
"11",0.01,1.74537357257921,1.77766407133459,1.79052856206196,1.9071607883373,1.86060006815252,1.90771146206618,1.86324246139573,1.71952726714333,1.67977767351227
"12",0.011,1.74507188753194,1.77885900202367,1.79161044109974,1.9075795575985,1.85970050059034,1.90816124401553,1.86232407572631,1.72109579805995,1.67979836000946
"13",0.012,1.74477632903739,1.78005224031892,1.79269172973669,1.90799976086895,1.85880824183333,1.90861169167622,1.86141264941502,1.72265987253559,1.67982235348023
"14",0.013,1.74448688392985,1.78124378398309,1.79377243618833,1.90842140799012,1.85792327827256,1.90906281472703,1.86050817073796,1.72421949874605,1.67984964555154
"15",0.014,1.74420353895717,1.78243363076106,1.79485256870192,1.90884450884453,1.85704559621888,1.90951462289022,1.8596106279022,1.7257746849088,1.67988022779898
"16",0.015,1.74392628078039,1.78362177837976,1.79593213555637,1.9092690733557,1.8561751819027,1.90996712593149,1.85872000904558,1.7273254392831,1.67991409174661
"17",0.016,1.74365509597329,1.78480822454806,1.79701114506215,1.9096951114881,1.85531202147371,1.91042033365996,1.85783630223648,1.7288717701701,1.67995122886672
"18",0.017,1.74338997102203,1.78599296695667,1.79808960556121,1.91012263324711,1.85445610100057,1.91087425592826,1.85695949547358,1.73041368591286,1.67999163057965
"19",0.018,1.7431308923247,1.78717600327802,1.79916752542689,1.9105516486789,1.8536074064707,1.9113289026324,1.85608957668563,1.7319511948965,1.68003528825363
"20",0.019,1.74287784619095,1.78835733116616,1.80024491306382,1.91098216787045,1.85276592378993,1.91178428371185,1.8552265337312,1.73348430554823,1.68008219320454
"21",0.02,1.74263081884152,1.78953694825663,1.80132177690785,1.91141420094944,1.85193163878232,1.9122404091495,1.85437035439851,1.73501302633743,1.68013233669574
"22",0.021,1.74238979640789,1.7907148521664,1.80239812542593,1.91184775808417,1.85110453718978,1.91269728897163,1.8535210264051,1.73653736577579,1.68018570993786
"23",0.022,1.74215476493182,1.79189104049371,1.80347396711603,1.9122828494835,1.85028460467189,1.91315493324795,1.85267853739767,1.73805733241729,1.68024230408861
"24",0.023,1.74192571036494,1.79306551081796,1.80454931050703,1.91271948539684,1.84947182680555,1.91361335209151,1.85184287495183,1.73957293485838,1.68030211025261
"25",0.024,1.74170261856834,1.79423826069964,1.80562416415861,1.91315767611396,1.84866618908476,1.91407255565874,1.85101402657187,1.74108418173798,1.68036511948113
"26",0.025,1.74148547531211,1.79540928768019,1.80669853666114,1.913597431965,1.84786767692032,1.9145325541494,1.85019197969049,1.74259108173762,1.68043132277197
"27",0.026,1.74127426627497,1.7965785892819,1.80777243663562,1.91403876332037,1.84707627563956,1.91499335780661,1.84937672166863,1.74409364358146,1.6805007110692
"28",0.027,1.74106897704381,1.79774616300775,1.80884587273349,1.91448168059065,1.84629197048604,1.91545497691674,1.84856823979518,1.7455918760364,1.68057327526302
"29",0.028,1.74086959311325,1.7989120063414,1.80991885363659,1.91492619422651,1.84551474661932,1.91591742180945,1.84776652128678,1.74708578791219,1.68064900618949
"30",0.029,1.74067609988522,1.80007611674697,1.810991388057,1.91537231471866,1.84474458911466,1.91638070285766,1.84697155328756,1.74857538806144,1.68072789463041
"31",0.03,1.74048848266853,1.80123849166899,1.81206348473692,1.91582005259768,1.84398148296271,1.9168448304775,1.84618332286895,1.75006068537973,1.68080993131307
"32",0.031,1.74030672667842,1.80239912853225,1.81313515244856,1.916269418434,1.84322541306932,1.91730981512828,1.84540181702939,1.7515416888057,1.68089510691007
"33",0.032,1.74013081703612,1.80355802474173,1.81420639999404,1.91672042283778,1.84247636425515,1.91777566731247,1.84462702269413,1.75301840732111,1.68098341203913
"34",0.033,1.73996073876844,1.80471517768244,1.8152772362052,1.91717307645878,1.84173432125547,1.91824239757567,1.843858926715,1.75449084995092,1.68107483726286
"35",0.034,1.73979647680727,1.80587058471932,1.81634766994353,1.9176273899863,1.84099926871989,1.91871001650655,1.84309751587015,1.75595902576335,1.68116937308861
"36",0.035,1.73963801598917,1.80702424319715,1.8174177101,1.91808337414906,1.84027119121202,1.91917853473684,1.84234277686383,1.75742294387001,1.68126700996821
"37",0.036,1.73948534105493,1.8081761504404,1.81848736559494,1.91854103971508,1.83955007320924,1.91964796294126,1.84159469632617,1.75888261342591,1.68136773829784
"38",0.037,1.73933843664908,1.80932630375311,1.81955664537789,1.91900039749158,1.8388358991024,1.92011831183749,1.84085326081293,1.76033804362959,1.68147154841777
"39",0.038,1.73919728731945,1.81047470041882,1.82062555842747,1.91946145832487,1.83812865319556,1.92058959218615,1.84011845680525,1.76178924372313,1.68157843061219
"40",0.039,1.73906187751676,1.81162133770039,1.82169411375122,1.91992423310021,1.83742831970569,1.9210618147907,1.83939027070944,1.76323622299232,1.68168837510901
"41",0.04,1.73893219159407,1.81276621283995,1.82276232038545,1.9203887327417,1.83673488276242,1.92153499049744,1.83866868885676,1.76467899076664,1.68180137207964
"42",0.041,1.73880821380641,1.81390932305873,1.82383018739511,1.92085496821219,1.83604832640771,1.92200913019544,1.83795369750313,1.7661175564194,1.68191741163884
"43",0.042,1.73868992831025,1.81505066555694,1.8248977238736,1.92132295051307,1.83536863459564,1.92248424481647,1.83724528282895,1.76755192936778,1.68203648384444
"44",0.043,1.73857731916306,1.81619023751371,1.82596493894266,1.92179269068424,1.83469579119208,1.92296034533496,1.83654343093885,1.76898211907293,1.68215857869722
"45",0.044,1.73847037032284,1.81732803608691,1.82703184175214,1.92226419980388,1.83402977997441,1.92343744276796,1.83584812786144,1.77040813504002,1.68228368614065
"46",0.045,1.73836906564765,1.81846405841305,1.8280984414799,1.92273748898839,1.83337058463128,1.92391554817504,1.83515935954909,1.77182998681832,1.68241179606073
"47",0.046,1.73827338889514,1.81959830160719,1.82916474733162,1.9232125693922,1.8327181887623,1.92439467265825,1.83447711187771,1.7732476840013,1.68254289828576
"48",0.047,1.73818332372205,1.82073076276277,1.83023076854058,1.92368945220763,1.83207257587777,1.92487482736204,1.83380137064648,1.77466123622667,1.68267698258618
"49",0.048,1.73809885368375,1.82186143895153,1.83129651436758,1.92416814866477,1.83143372939839,1.92535602347322,1.83313212157766,1.77607065317645,1.6828140386743
"50",0.049,1.73801996223375,1.82299032722336,1.83236199410065,1.92464867003129,1.83080163265501,1.92583827222085,1.83246935031631,1.77747594457708,1.68295405620418
"51",0.05,1.73794663272325,1.82411742460621,1.83342721705497,1.92513102761231,1.83017626888831,1.92632158487621,1.83181304243011,1.77887712019948,1.68309702477138
"52",0.051,1.73787884840059,1.82524272810596,1.8344921925726,1.92561523275023,1.82955762124857,1.92680597275267,1.83116318340909,1.78027418985908,1.68324293391276
"53",0.052,1.7378165924108,1.82636623470629,1.83555693002235,1.92610129682456,1.82894567279535,1.92729144720566,1.83051975866543,1.78166716341597,1.68339177310632
"54",0.053,1.73775984779512,1.82748794136854,1.83662143879953,1.92658923125174,1.82834040649724,1.92777801963256,1.82988275353316,1.78305605077487,1.68354353177095
"55",0.054,1.73770859749048,1.82860784503167,1.83768572832581,1.92707904748503,1.82774180523157,1.92826570147263,1.82925215326804,1.78444086188533,1.68369819926627
"56",0.055,1.737662824329,1.82972594261202,1.83874980804897,1.92757075701425,1.82714985178414,1.9287545042069,1.82862794304724,1.78582160674166,1.6838557648924
"57",0.056,1.73762251103753,1.83084223100328,1.8398136874427,1.92806437136563,1.82656452884893,1.92924443935811,1.82801010796915,1.78719829538312,1.68401621788979
"58",0.057,1.73758764023712,1.83195670707636,1.84087737600641,1.92855990210166,1.82598581902786,1.92973551849058,1.82739863305312,1.78857093789392,1.684179547439
"59",0.058,1.73755819444249,1.8330693676792,1.84194088326502,1.92905736082085,1.82541370483046,1.93022775321017,1.82679350323931,1.78993954440331,1.68434574266053
"60",0.059,1.7375341560616,1.83418020963675,1.8430042187687,1.92955675915755,1.82484816867366,1.93072115516409,1.82619470338835,1.79130412508565,1.68451479261457
"61",0.06,1.73751550739507,1.83528922975077,1.84406739209267,1.93005810878177,1.82428919288148,1.93121573604088,1.82560221828122,1.79266469016047,1.68468668630089
"62",0.061,1.73750223063571,1.83639642479972,1.84513041283697,1.93056142139895,1.82373675968474,1.93171150757027,1.82501603261895,1.79402124989255,1.68486141265854
"63",0.062,1.73749430786799,1.83750179153868,1.84619329062624,1.93106670874977,1.82319085122083,1.93220848152307,1.82443613102246,1.795373814592,1.68503896056573
"64",0.063,1.73749172106753,1.8386053266992,1.84725603510945,1.93157398260991,1.82265144953345,1.93270666971102,1.82386249803228,1.79672239461427,1.68521931883962
"65",0.064,1.7374944521006,1.83970702698917,1.84831865595968,1.93208325478986,1.82211853657228,1.93320608398676,1.82329511810837,1.79806700036028,1.68540247623613
"66",0.065,1.73750248272358,1.84080688909271,1.84938116287387,1.93259453713469,1.82159209419277,1.93370673624362,1.82273397562988,1.79940764227646,1.68558842144969
"67",0.066,1.73751579458247,1.84190490967006,1.85044356557256,1.9331078415238,1.82107210415585,1.93420863841554,1.82217905489495,1.80074433085479,1.68577714311316
"68",0.067,1.73753436921232,1.84300108535744,1.85150587379964,1.9336231798707,1.82055854812767,1.93471180247693,1.82163034012049,1.80207707663291,1.68596862979753
"69",0.068,1.73755818803676,1.84409541276695,1.85256809732208,1.93414056412276,1.82005140767937,1.93521624044252,1.82108781544194,1.80340589019414,1.6861628700118
"70",0.069,1.73758723236745,1.84518788848643,1.85363024592964,1.93466000626099,1.81955066428674,1.93572196436726,1.8205514649131,1.80473078216757,1.68635985220277
"71",0.07,1.73762148340354,1.84627850907935,1.85469232943464,1.93518151829973,1.81905629933006,1.93622898634614,1.8200212725059,1.80605176322811,1.68655956475484
"72",0.071,1.73766092223119,1.84736727108469,1.85575435767166,1.93570511228645,1.81856829409379,1.93673731851406,1.81949722211018,1.80736884409654,1.68676199598986
