"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.64919826398766,1.64919826398766,1.64961887544321,1.65531649330645,1.65338128513676,1.65574442940365,1.65338128513676,1.60127726586742,2.30122215437208
"2",0.001,1.64919184685515,1.64919184685515,1.65127063660306,1.65666258476934,1.65282498530237,1.65753038018429,1.65282498530237,1.60273820895552,2.29762656928914
"3",0.002,1.64917854391188,1.64917854391188,1.65290859594815,1.65799652487732,1.65226712055987,1.65930179570803,1.65226712055987,1.60419348743636,2.29403241219338
"4",0.003,1.64915836093707,1.64915836093707,1.65453276046474,1.65931831969775,1.65170769174376,1.66105868323215,1.65170769174376,1.60564310018899,2.29043969043232
"5",0.004,1.64913130374882,1.64913130374882,1.65614313718628,1.66062797533902,1.65114669969338,1.66280105006282,1.65114669969338,1.60708704608486,2.286848411401
"6",0.005,1.64909737820445,1.64909737820445,1.65773973319383,1.66192549795088,1.65058414525298,1.6645289035555,1.65058414525298,1.60852532398779,2.28325858254242
"7",0.006,1.64905659020078,1.64905659020078,1.65932255561642,1.66321089372475,1.65002002927171,1.66624225111532,1.65002002927171,1.60995793275388,2.27967021134788
"8",0.007,1.64900894567446,1.64900894567446,1.66089161163144,1.66448416889406,1.64945435260371,1.66794110019749,1.64945435260371,1.61138487123149,2.27608330535734
"9",0.008,1.64895445060229,1.64895445060229,1.66244690846504,1.66574532973459,1.64888711610809,1.66962545830768,1.64888711610809,1.61280613826114,2.27249787215981
"10",0.009,1.64889311100155,1.64889311100155,1.66398845339247,1.66699438256481,1.648318320649,1.67129533300244,1.648318320649,1.61422173267549,2.26891391939368
"11",0.01,1.64882493293031,1.64882493293031,1.66551625373856,1.6682313337462,1.64774796709567,1.67295073188963,1.64774796709567,1.61563165329923,2.26533145474718
"12",0.011,1.64874992248774,1.64874992248774,1.66703031687802,1.66945618968365,1.64717605632241,1.67459166262875,1.64717605632241,1.61703589894907,2.26175048595867
"13",0.012,1.6486680858145,1.6486680858145,1.66853065023591,1.67066895682577,1.64660258920869,1.67621813293145,1.64660258920869,1.61843446843367,2.25817102081707
"14",0.013,1.64857942909301,1.64857942909301,1.67001726128804,1.67186964166521,1.64602756663914,1.67783015056189,1.64602756663914,1.61982736055353,2.25459306716228
"15",0.014,1.64848395854783,1.64848395854783,1.67149015756134,1.67305825073911,1.64545098950362,1.67942772333716,1.64545098950362,1.62121457410099,2.2510166328855
"16",0.015,1.64838168044597,1.64838168044597,1.67294934663431,1.67423479062937,1.64487285869722,1.68101085912776,1.64487285869722,1.62259610786015,2.24744172592967
"17",0.016,1.64827260109726,1.64827260109726,1.67439483613742,1.67539926796304,1.64429317512035,1.68257956585796,1.64429317512035,1.62397196060675,2.24386835428987
"18",0.017,1.64815672685467,1.64815672685467,1.67582663375355,1.67655168941274,1.64371193967872,1.6841338515063,1.64371193967872,1.62534213110822,2.24029652601371
"19",0.018,1.64803406411469,1.64803406411469,1.67724474721839,1.67769206169693,1.64312915328342,1.68567372410598,1.64312915328342,1.62670661812349,2.23672624920173
"20",0.019,1.64790461931766,1.64790461931766,1.67864918432088,1.67882039158036,1.64254481685094,1.68719919174531,1.64254481685094,1.62806542040302,2.23315753200783
"21",0.02,1.64776839894815,1.64776839894815,1.68003995290365,1.67993668587444,1.64195893130322,1.6887102625682,1.64195893130322,1.62941853668869,2.22959038263966
"22",0.021,1.64762540953529,1.64762540953529,1.68141706086346,1.68104095143758,1.64137149756768,1.69020694477456,1.64137149756768,1.63076596571374,2.22602480935908
"23",0.022,1.64747565765316,1.64747565765316,1.68278051615163,1.68213319517562,1.64078251657727,1.69168924662078,1.64078251657727,1.63210770620271,2.22246082048252
"24",0.023,1.64731914992115,1.64731914992115,1.68413032677448,1.68321342404219,1.64019198927049,1.69315717642019,1.64019198927049,1.63344375687136,2.21889842438145
"25",0.024,1.64715589300432,1.64715589300432,1.68546650079383,1.68428164503912,1.63959991659148,1.69461074254352,1.63959991659148,1.63477411642663,2.21533762948282
"26",0.025,1.64698589361381,1.64698589361381,1.68678904632737,1.68533786521682,1.63900629948999,1.69604995341937,1.63900629948999,1.63609878356654,2.21177844426942
"27",0.026,1.64680915850717,1.64680915850717,1.68809797154922,1.68638209167468,1.63841113892148,1.6974748175347,1.63841113892148,1.63741775698014,2.20822087728042
"28",0.027,1.64662569448878,1.64662569448878,1.6893932846903,1.68741433156152,1.63781443584714,1.69888534343528,1.63781443584714,1.63873103534744,2.20466493711174
"29",0.028,1.64643550841024,1.64643550841024,1.69067499403888,1.6884345920759,1.63721619123394,1.7002815397262,1.63721619123394,1.64003861733932,2.20111063241651
"30",0.029,1.64623860717071,1.64623860717071,1.69194310794099,1.68944288046666,1.63661640605465,1.70166341507235,1.63661640605465,1.64134050161749,2.19755797190554
"31",0.03,1.64603499771738,1.64603499771738,1.69319763480094,1.69043920403323,1.63601508128792,1.70303097819891,1.63601508128791,1.6426366868344,2.19400696434775
"32",0.031,1.6458246870458,1.6458246870458,1.69443858308179,1.6914235701261,1.63541221791829,1.70438423789186,1.63541221791829,1.64392717163318,2.19045761857066
"33",0.032,1.64560768220033,1.64560768220033,1.69566596130583,1.69239598614723,1.63480781693627,1.70572320299846,1.63480781693627,1.64521195464754,2.18690994346081
"34",0.033,1.64538399027452,1.64538399027452,1.6968797780551,1.69335645955051,1.63420187933835,1.70704788242778,1.63420187933835,1.64649103450173,2.18336394796426
"35",0.034,1.64515361841153,1.64515361841153,1.69808004197185,1.69430499784214,1.63359440612706,1.70835828515122,1.63359440612707,1.64776440981047,2.17981964108708
"36",0.035,1.64491657380456,1.64491657380456,1.69926676175907,1.69524160858111,1.63298539831103,1.709654420203,1.63298539831103,1.64903207917883,2.17627703189575
"37",0.036,1.64467286369725,1.64467286369725,1.70043994618102,1.69616629937965,1.63237485690501,1.71093629668072,1.63237485690501,1.65029404120219,2.17273612951775
"38",0.037,1.64442249538409,1.64442249538409,1.70159960406368,1.69707907790363,1.63176278292993,1.71220392374586,1.63176278292993,1.65155029446618,2.16919694314195
"39",0.038,1.64416547621089,1.64416547621089,1.70274574429533,1.69797995187305,1.63114917741295,1.71345731062434,1.63114917741295,1.65280083754657,2.16565948201916
"40",0.039,1.64390181357519,1.64390181357519,1.70387837582705,1.6988689290625,1.63053404138751,1.71469646660705,1.63053404138751,1.65404566900921,2.16212375546261
"41",0.04,1.64363151492668,1.64363151492668,1.70499750767325,1.6997460173016,1.62991737589337,1.71592140105037,1.62991737589338,1.65528478740992,2.15858977284844
"42",0.041,1.6433545877677,1.6433545877677,1.7061031489122,1.70061122447548,1.62929918197667,1.71713212337679,1.62929918197667,1.6565181912945,2.15505754361621
"43",0.042,1.6430710396536,1.6430710396536,1.70719530868661,1.70146455852523,1.62867946068996,1.7183286430754,1.62867946068996,1.65774587919854,2.15152707726943
"44",0.043,1.64278087819329,1.64278087819329,1.70827399620411,1.70230602744843,1.62805821309227,1.71951096970249,1.62805821309227,1.65896784964742,2.14799838337606
"45",0.044,1.6424841110496,1.6424841110496,1.70933922073788,1.70313563929957,1.62743544024915,1.72067911288211,1.62743544024915,1.66018410115619,2.14447147156903
"46",0.045,1.64218074593983,1.64218074593983,1.71039099162715,1.70395340219057,1.62681114323273,1.72183308230666,1.62681114323273,1.66139463222951,2.14094635154679
"47",0.046,1.64187079063616,1.64187079063616,1.71142931827779,1.70475932429126,1.62618532312177,1.72297288773745,1.62618532312177,1.66259944136155,2.13742303307379
"48",0.047,1.64155425296612,1.64155425296612,1.71245421016288,1.7055534138299,1.62555798100169,1.7240985390053,1.62555798100169,1.66379852703594,2.13390152598109
"49",0.048,1.64123114081312,1.64123114081312,1.71346567682329,1.70633567909366,1.62492911796467,1.72521004601115,1.62492911796467,1.66499188772565,2.13038184016684
"50",0.049,1.64090146211686,1.64090146211686,1.71446372786825,1.70710612842911,1.62429873510966,1.72630741872662,1.62429873510966,1.66617952189293,2.12686398559687
"51",0.05,1.64056522487388,1.64056522487388,1.71544837297596,1.7078647702428,1.62366683354244,1.72739066719468,1.62366683354244,1.66736142798919,2.12334797230523
"52",0.051,1.64022243713803,1.64022243713803,1.71641962189418,1.7086116130017,1.62303341437571,1.72845980153021,1.62303341437571,1.66853760445499,2.11983381039473
"53",0.052,1.63987310702094,1.63987310702094,1.71737748444082,1.70934666523379,1.62239847872912,1.72951483192065,1.62239847872912,1.66970804971987,2.11632151003757
"54",0.053,1.63951724269258,1.63951724269258,1.71832197050456,1.71006993552854,1.6217620277293,1.73055576862661,1.6217620277293,1.67087276220232,2.11281108147583
"55",0.054,1.63915485238172,1.63915485238172,1.71925309004548,1.7107814325375,1.62112406250997,1.73158262198254,1.62112406250997,1.67203174030966,2.10930253502211
"56",0.055,1.63878594437648,1.63878594437648,1.72017085309567,1.7114811649748,1.62048458421197,1.73259540239732,1.62048458421197,1.67318498243797,2.10579588106009
"57",0.056,1.63841052702482,1.63841052702482,1.72107526975985,1.71216914161771,1.61984359398332,1.73359412035495,1.61984359398332,1.67433248697201,2.10229113004513
"58",0.057,1.6380286087351,1.6380286087351,1.72196635021603,1.71284537130721,1.61920109297927,1.73457878641523,1.61920109297927,1.6754742522851,2.09878829250487
"59",0.058,1.6376401979766,1.6376401979766,1.72284410471615,1.71350986294855,1.61855708236239,1.73554941121434,1.61855708236239,1.67661027673905,2.0952873790398
"60",0.059,1.63724530328005,1.63724530328005,1.72370854358673,1.71416262551179,1.61791156330259,1.7365060054656,1.61791156330259,1.67774055868406,2.09178840032392
"61",0.06,1.63684393323818,1.63684393323818,1.72455967722951,1.7148036680324,1.61726453697721,1.73744857996009,1.61726453697721,1.67886509645865,2.08829136710535
"62",0.061,1.6364360965063,1.6364360965063,1.72539751612217,1.71543299961186,1.6166160045711,1.7383771455674,1.6166160045711,1.67998388838954,2.08479629020692
"63",0.062,1.6360218018028,1.6360218018028,1.72622207081894,1.7160506294182,1.61596596727663,1.73929171323624,1.61596596727663,1.68109693279156,2.08130318052682
"64",0.063,1.63560105790978,1.63560105790978,1.72703335195132,1.71665656668664,1.61531442629378,1.74019229399522,1.61531442629378,1.68220422796758,2.07781204903925
"65",0.064,1.63517387367359,1.63517387367359,1.7278313702288,1.71725082072017,1.61466138283024,1.74107889895354,1.61466138283024,1.68330577220838,2.07432290679507
"66",0.065,1.6347402580054,1.6347402580054,1.7286161364395,1.71783340089015,1.6140068381014,1.74195153930169,1.6140068381014,1.68440156379259,2.07083576492241
"67",0.066,1.63430021988182,1.63430021988182,1.72938766145091,1.71840431663696,1.61335079333049,1.74281022631221,1.61335079333049,1.68549160098654,2.06735063462739
"68",0.067,1.63385376834545,1.63385376834545,1.7301459562106,1.71896357747059,1.61269324974862,1.74365497134038,1.61269324974862,1.68657588204424,2.06386752719473
"69",0.068,1.63340091250551,1.63340091250551,1.73089103174696,1.7195111929713,1.61203420859482,1.74448578582505,1.61203420859482,1.68765440520721,2.06038645398848
"70",0.069,1.63294166153845,1.63294166153845,1.73162289916991,1.72004717279024,1.61137367111617,1.7453026812893,1.61137367111617,1.68872716870441,2.05690742645265
"71",0.07,1.63247602468856,1.63247602468856,1.73234156967165,1.72057152665011,1.6107116385678,1.74610566934127,1.6107116385678,1.68979417075214,2.05343045611196
"72",0.071,1.63200401126857,1.63200401126857,1.73304705452745,1.72108426434579,1.61004811221303,1.74689476167492,1.61004811221303,1.69085540955394,2.04995555457248
"73",0.072,1.63152563066031,1.63152563066031,1.73373936509632,1.72158539574504,1.60938309332339,1.74766997007079,1.60938309332339,1.69191088330047,2.04648273352239
"74",0.073,1.63104089231535,1.63104089231535,1.7344185128219,1.72207493078916,1.60871658317871,1.74843130639682,1.60871658317871,1.69296059016944,2.04301200473264
"75",0.074,1.63054980575563,1.63054980575563,1.73508450923314,1.72255287949365,1.60804858306722,1.74917878260916,1.60804858306722,1.69400452832548,2.03954338005776
"76",0.075,1.63005238057411,1.63005238057411,1.73573736594513,1.72301925194891,1.60737909428559,1.74991241075295,1.60737909428559,1.69504269592002,2.03607687143648
"77",0.076,1.62954862643545,1.62954862643545,1.73637709465993,1.72347405832095,1.606708118139,1.75063220296316,1.606708118139,1.69607509109123,2.03261249089259
"78",0.077,1.62903855307669,1.62903855307669,1.73700370716731,1.72391730885209,1.60603565594129,1.75133817146545,1.60603565594129,1.69710171196387,2.02915025053559
"79",0.078,1.6285221703079,1.6285221703079,1.73761721534563,1.72434901386166,1.60536170901493,1.75203032857696,1.60536170901493,1.69812255664922,2.02569016256153
"80",0.079,1.6279994880129,1.6279994880129,1.73821763116267,1.72476918374674,1.6046862786912,1.75270868670722,1.6046862786912,1.69913762324492,2.02223223925373
"81",0.08,1.62747051614995,1.62747051614995,1.73880496667641,1.7251778289829,1.6040093663102,1.75337325835898,1.6040093663102,1.70014690983492,2.01877649298359
"82",0.081,1.62693526475244,1.62693526475244,1.73937923403596,1.72557496012491,1.60333097322099,1.75402405612911,1.60333097322099,1.7011504144893,2.01532293621134
"83",0.082,1.62639374392963,1.62639374392963,1.73994044548238,1.72596058780755,1.60265110078162,1.75466109270948,1.60265110078162,1.70214813526425,2.01187158148691
"84",0.083,1.62584596386737,1.62584596386737,1.74048861334956,1.72633472274632,1.60196975035925,1.75528438088786,1.60196975035925,1.70314007020185,2.00842244145066
"85",0.084,1.62529193482884,1.62529193482884,1.74102375006514,1.72669737573824,1.60128692333023,1.75589393354884,1.60128692333023,1.70412621733004,2.00497552883424
"86",0.085,1.62473166715529,1.62473166715529,1.74154586815135,1.72704855766263,1.60060262108019,1.75648976367474,1.60060262108019,1.70510657466246,2.00153085646146
"87",0.086,1.6241651712668,1.6241651712668,1.74205498022596,1.72738827948189,1.59991684500413,1.75707188434658,1.59991684500413,1.70608114019835,1.99808843724903
"88",0.087,1.62359245766306,1.62359245766306,1.74255109900323,1.72771655224235,1.59922959650648,1.75764030874499,1.59922959650648,1.70704991192243,1.99464828420752
"89",0.088,1.62301353692411,1.62301353692411,1.74303423729478,1.72803338707502,1.59854087700125,1.7581950501512,1.59854087700125,1.70801288780478,1.99121041044217
